Seed;Tesla;Musk;Gigafactory;Elon Mask;
https://en.wikipedia.org/wiki/Dark_star_(dark_matter);0;0;0;0;0;
https://en.wikipedia.org/wiki/Particle_acceleration;0;0;0;0;0;
https://en.wikipedia.org/wiki/Dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/High_Energy_Astronomy_Observatory_1;0;0;0;0;0;
https://en.wikipedia.org/wiki/Imaging_X-ray_Polarimetry_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/IRAS;0;0;0;0;0;
https://en.wikipedia.org/wiki/AstroSat-2;0;0;0;0;0;
https://en.wikipedia.org/wiki/NASASpaceFlight;0;0;0;0;0;
https://en.wikipedia.org/wiki/Human_spaceflight;0;2;0;0;2;
https://en.wikipedia.org/wiki/SpaceX_South_Texas_Launch_Site;1;11;0;0;12;
https://en.wikipedia.org/wiki/Spacecraft;0;0;0;0;0;
https://en.wikipedia.org/wiki/The_New_York_Times;0;0;0;0;0;
https://en.wikipedia.org/wiki/Space_Shuttle;0;0;0;0;0;
https://en.wikipedia.org/wiki/Private_spaceflight;0;10;0;0;10;
https://en.wikipedia.org/wiki/USA_Today;0;0;0;0;0;
https://en.wikipedia.org/wiki/MSNBC;0;0;0;0;0;
https://en.wikipedia.org/wiki/Design_review_(U;0;0;0;0;0;
https://en.wikipedia.org/wiki/Cape_Canaveral;0;0;0;0;0;
https://en.wikipedia.org/wiki/United_Space_Alliance;0;0;0;0;0;
https://en.wikipedia.org/wiki/Online_newspaper;0;0;0;0;0;
https://en.wikipedia.org/wiki/Vision_for_Space_Exploration;0;0;0;0;0;
https://en.wikipedia.org/wiki/Terabytes;0;0;0;0;0;
